Czas;GVA
1993-Q1;344763
1993-Q2;359859
1993-Q3;343987
1993-Q4;387496
1994-Q1;367294
1994-Q2;384768
1994-Q3;364111
1994-Q4;419029
1995-Q1;405787
1995-Q2;422333
1995-Q3;396755
1995-Q4;448952
1996-Q1;428711
1996-Q2;431821
1996-Q3;414520
1996-Q4;454671
1997-Q1;426041
1997-Q2;461137
1997-Q3;433557
1997-Q4;490938
1998-Q1;453768
1998-Q2;480691
1998-Q3;453891
1998-Q4;514914
1999-Q1;476813
1999-Q2;504248
1999-Q3;478331
1999-Q4;545611
2000-Q1;504937
2000-Q2;542488
2000-Q3;515247
2000-Q4;578631
2001-Q1;535081
2001-Q2;567388
2001-Q3;529837
2001-Q4;593255
2002-Q1;553161
2002-Q2;594612
2002-Q3;551997
2002-Q4;609880
2003-Q1;576631
2003-Q2;608346
2003-Q3;577460
2003-Q4;633767
2004-Q1;595674
2004-Q2;642000
2004-Q3;607332
2004-Q4;666049
2005-Q1;604417
2005-Q2;665158
2005-Q3;626747
2005-Q4;694515
2006-Q1;652238
2006-Q2;703169
2006-Q3;665810
2006-Q4;742735
2007-Q1;695731
2007-Q2;751914
2007-Q3;703815
2007-Q4;785139
2008-Q1;720034
2008-Q2;778476
2008-Q3;726963
2008-Q4;775879
2009-Q1;699772
2009-Q2;749942
2009-Q3;706777
2009-Q4;774164
2010-Q1;720028
2010-Q2;799224
2010-Q3;763000
2010-Q4;848940
2011-Q1;780668
2011-Q2;843114
2011-Q3;800829
2011-Q4;855784
2012-Q1;787972
2012-Q2;849949
2012-Q3;798735
2012-Q4;865479
2013-Q1;793519
2013-Q2;858596
2013-Q3;818777
2013-Q4;901849
2014-Q1;825138
2014-Q2;897504
2014-Q3;854299
2014-Q4;941860
2015-Q1;876802
2015-Q2;967896
2015-Q3;908093
2015-Q4;1004077
2016-Q1;910695
2016-Q2;1000363
2016-Q3;940770
2016-Q4;1043481
2017-Q1;967262
2017-Q2;1033832
2017-Q3;974412
2017-Q4;1079296
2018-Q1;1001920
2018-Q2;1084819
2018-Q3;1019804
2018-Q4;1132561
2019-Q1;1057696
2019-Q2;1142929
2019-Q3;1078087
2019-Q4;1185967
2020-Q1;1111158
2020-Q2;1082426
2020-Q3;1062257
2020-Q4;1196793
2021-Q1;1129626
2021-Q2;1225865
2021-Q3;1168750
2021-Q4;1324951
2022-Q1;1213248
2022-Q2;1325286
2022-Q3;1269055
2022-Q4;1399400
2023-Q1;1343675
2023-Q2;1403283
2023-Q3;1342478
2023-Q4;1463626
2024-Q1;1400518
2024-Q2;1471700
2024-Q3;1382104
